review_id,cid,population,groupe,etiquette,note,supprime,n_caracteres
Ci9DQUlRQUNvZENodHljRjlvT2pSYWNrMW9UbEJpUzBNeFdsazJPRGN5V1ZadVdsRRAB,6979490965054725027,1_etoile_anglais_hors_enseignes,1,,1,False,943
Ci9DQUlRQUNvZENodHljRjlvT2pWWmVVTXRWRkJRT0d4UFRVaHJjblIzYzBGS1VtYxAB,3548043799334044547,1_etoile_anglais_hors_enseignes,1,,1,False,479
Ci9DQUlRQUNvZENodHljRjlvT2pWclEyRkpZVnBuVVhWU09YaEVNVWREUVhOWmFWRRAB,2971782808460532915,1_etoile_anglais_hors_enseignes,1,,1,False,483
Ci9DQUlRQUNvZENodHljRjlvT2paUU5rcEhaakJLTjFSemNXeEthRTlSVHpSWk1XYxAB,17386340099974746385,1_etoile_anglais_hors_enseignes,1,,1,False,228
Ci9DQUlRQUNvZENodHljRjlvT2pablRtcHJOM2R4YTFKblpGRlpjSGxRYnpoSWRXYxAB,6148346436703173920,1_etoile_anglais_hors_enseignes,1,,1,False,776
Ci9DQUlRQUNvZENodHljRjlvT2pkNGIzQldTM2N4Y0hKcWFVTjJjVEIzTjJwalZrRRAB,6148346436703173920,1_etoile_anglais_hors_enseignes,1,,1,False,214
Ci9DQUlRQUNvZENodHljRjlvT2psSFpHSktUMlZTVEVWdFl6RmtibFp2YlZwRU1HYxAB,16069512827606530358,1_etoile_anglais_hors_enseignes,1,,1,False,1396
Ci9DQUlRQUNvZENodHljRjlvT2psalRuTXhkbEpmYW1OWFZVdE5RMlJpTlhFdE5IYxAB,11121079175657752605,1_etoile_anglais_hors_enseignes,1,,1,False,381
Ci9DQUlRQUNvZENodHljRjlvT2sxeGJGODJVM2M0UjNScWJtaGxTbmxhVFRoeU9XYxAB,18100578149109395581,1_etoile_anglais_hors_enseignes,1,,1,False,171
Ci9DQUlRQUNvZENodHljRjlvT2tGbGNFODFZMlZEV1dRMVZ6Sk1abXhYY1VsM1NFRRAB,2482891133153721027,1_etoile_anglais_hors_enseignes,1,,1,False,1536
