rang,part_observee,part_attendue
6030,100.0,95.307
6040,100.0,95.336
6050,100.0,95.364
6060,100.0,95.393
6070,100.0,95.421
6080,100.0,95.449
6090,100.0,95.477
6100,100.0,95.505
6110,100.0,95.533
6120,100.0,95.561
6130,100.0,95.589
6140,100.0,95.616
6150,100.0,95.644
6160,100.0,95.671
6170,100.0,95.698
6180,100.0,95.726
6190,100.0,95.753
6200,100.0,95.78
6210,100.0,95.806
6220,100.0,95.833
6230,100.0,95.86
6240,100.0,95.887
6250,100.0,95.913
6260,100.0,95.94
6270,100.0,95.966
6280,100.0,95.992
6290,100.0,96.019
6300,100.0,96.045
6310,100.0,96.071
6320,100.0,96.097
6330,100.0,96.123
6340,100.0,96.148
6350,100.0,96.174
6360,100.0,96.2
6370,100.0,96.225
6380,100.0,96.251
6390,100.0,96.276
6400,100.0,96.301
6410,100.0,96.327
6420,100.0,96.352
6430,100.0,96.377
6440,100.0,96.402
6450,100.0,96.426
6460,100.0,96.451
6470,100.0,96.476
6480,100.0,96.5
6490,100.0,96.525
6500,100.0,96.549
6510,100.0,96.573
6520,100.0,96.597
6530,100.0,96.621
6540,100.0,96.645
6550,100.0,96.668
6560,100.0,96.692
6570,100.0,96.716
6580,100.0,96.739
6590,100.0,96.763
6600,100.0,96.786
6610,100.0,96.809
6620,100.0,96.833
6630,100.0,96.856
6640,100.0,96.879
6650,100.0,96.902
6660,100.0,96.925
6670,100.0,96.947
6680,100.0,96.97
6690,100.0,96.993
6700,100.0,97.015
6710,100.0,97.038
6720,100.0,97.06
6730,100.0,97.083
6740,100.0,97.105
6750,100.0,97.127
6760,100.0,97.149
6770,100.0,97.171
6780,100.0,97.193
6790,100.0,97.215
6800,100.0,97.236
6810,100.0,97.258
6820,100.0,97.28
6830,100.0,97.301
6840,100.0,97.323
6850,100.0,97.344
6860,100.0,97.365
6870,100.0,97.387
6880,100.0,97.408
6890,100.0,97.429
6900,100.0,97.45
6910,100.0,97.471
6920,100.0,97.492
6930,100.0,97.513
6940,100.0,97.534
6950,100.0,97.555
6960,100.0,97.576
6970,100.0,97.596
6980,100.0,97.617
6990,100.0,97.637
7000,100.0,97.657
7010,100.0,97.678
7020,100.0,97.698
7030,100.0,97.718
7040,100.0,97.738
7050,100.0,97.757
7060,100.0,97.777
7070,100.0,97.797
7080,100.0,97.816
7090,100.0,97.836
7100,100.0,97.855
7110,100.0,97.874
7120,100.0,97.893
7130,100.0,97.912
7140,100.0,97.931
7150,100.0,97.95
7160,100.0,97.969
7170,100.0,97.987
7180,100.0,98.006
7190,100.0,98.024
7200,100.0,98.042
7210,100.0,98.06
7220,100.0,98.078
7230,100.0,98.096
7240,100.0,98.114
7250,100.0,98.132
7260,100.0,98.15
7270,100.0,98.168
7280,100.0,98.185
7290,100.0,98.203
7300,100.0,98.22
7310,100.0,98.238
7320,100.0,98.255
7330,100.0,98.272
7340,100.0,98.289
7350,100.0,98.306
7360,100.0,98.323
7370,100.0,98.34
7380,100.0,98.357
7390,100.0,98.374
7400,100.0,98.39
7410,100.0,98.407
7420,100.0,98.423
7430,100.0,98.44
7440,100.0,98.456
7450,100.0,98.472
7460,100.0,98.488
7470,100.0,98.504
7480,100.0,98.52
7490,100.0,98.536
7500,100.0,98.552
7510,100.0,98.568
7520,100.0,98.584
7530,100.0,98.599
7540,100.0,98.615
7550,100.0,98.63
7560,100.0,98.646
7570,100.0,98.661
7580,100.0,98.676
7590,100.0,98.692
7600,100.0,98.707
7610,100.0,98.722
7620,100.0,98.737
7630,100.0,98.752
7640,100.0,98.767
7650,100.0,98.781
7660,100.0,98.796
7670,100.0,98.811
7680,100.0,98.826
7690,100.0,98.84
7700,100.0,98.855
7710,100.0,98.869
7720,100.0,98.883
7730,100.0,98.898
7740,100.0,98.912
7750,100.0,98.926
7760,100.0,98.94
7770,100.0,98.954
7780,100.0,98.968
7790,100.0,98.982
7800,100.0,98.995
7810,100.0,99.009
7820,100.0,99.023
7830,100.0,99.036
7840,100.0,99.05
7850,100.0,99.063
7860,100.0,99.077
7870,100.0,99.09
7880,100.0,99.104
7890,100.0,99.117
7900,100.0,99.13
7910,100.0,99.143
7920,100.0,99.156
7930,100.0,99.169
7940,100.0,99.182
7950,100.0,99.195
7960,100.0,99.208
7970,100.0,99.221
7980,100.0,99.234
7990,100.0,99.246
8000,100.0,99.259
8010,100.0,99.272
8020,100.0,99.284
8030,100.0,99.297
8040,100.0,99.309
8050,100.0,99.322
8060,100.0,99.334
8070,100.0,99.346
8080,100.0,99.358
8090,100.0,99.37
8100,100.0,99.382
8110,100.0,99.394
8120,100.0,99.406
8130,100.0,99.418
8140,100.0,99.43
8150,100.0,99.441
8160,100.0,99.453
8170,100.0,99.464
8180,100.0,99.476
8190,100.0,99.487
8200,100.0,99.499
8210,100.0,99.51
8220,100.0,99.521
8230,100.0,99.532
8240,100.0,99.543
8250,100.0,99.554
8260,100.0,99.565
8270,100.0,99.576
8280,100.0,99.587
8290,100.0,99.598
8300,100.0,99.609
8310,100.0,99.62
8320,100.0,99.631
8330,100.0,99.641
8340,100.0,99.652
8350,100.0,99.663
8360,100.0,99.673
8370,100.0,99.683
8380,100.0,99.694
8390,100.0,99.704
8400,100.0,99.714
8410,100.0,99.725
8420,100.0,99.735
8430,100.0,99.745
8440,100.0,99.755
8450,100.0,99.764
8460,100.0,99.774
8470,100.0,99.783
8480,100.0,99.792
8490,100.0,99.8
8500,100.0,99.809
8510,100.0,99.817
8520,100.0,99.826
8530,100.0,99.834
8540,100.0,99.842
8550,100.0,99.849
8560,100.0,99.857
8570,100.0,99.864
8580,100.0,99.871
8590,100.0,99.878
8600,100.0,99.885
8610,100.0,99.891
8620,100.0,99.897
8630,100.0,99.903
8640,100.0,99.909
8650,100.0,99.915
8660,100.0,99.92
8670,100.0,99.925
8680,100.0,99.93
8690,100.0,99.935
8700,100.0,99.939
8710,100.0,99.944
8720,100.0,99.948
8730,100.0,99.952
8740,100.0,99.956
8750,100.0,99.96
8760,100.0,99.963
8770,100.0,99.967
8780,100.0,99.97
8790,100.0,99.973
8800,100.0,99.975
8810,100.0,99.978
8820,100.0,99.98
8830,100.0,99.983
8840,100.0,99.985
8850,100.0,99.987
8860,100.0,99.989
8870,100.0,99.99
8880,100.0,99.992
8890,100.0,99.993
8900,100.0,99.994
8910,100.0,99.995
8920,100.0,99.996
8930,100.0,99.997
8940,100.0,99.998
8950,100.0,99.998
8960,100.0,99.999
8970,100.0,99.999
8980,100.0,100.0
8990,100.0,100.0
