variable,modele,coefficient,risque_relatif,borne_basse,borne_haute,p_value
etoiles_1,hors fiches attaquees,1.0540455562573494,2.869235322901924,2.1691207936843635,3.795321755320396,1.5191246699955033e-13
etoiles_2,hors fiches attaquees,0.5585935770647725,1.748212044965587,1.197834596230205,2.5514752736156545,0.0037824251202554617
etoiles_3,hors fiches attaquees,-0.4250238405426906,0.6537541990891657,0.41847040948685854,1.0213256257492636,0.0618654221684463
etoiles_4,hors fiches attaquees,-0.4004293622023017,0.6700322977229717,0.5048369420062768,0.889283732303297,0.005565232639509993
age_4-7j,hors fiches attaquees,0.9901797926173725,2.691718379939212,2.0356188585153476,3.5592850825654447,3.744203429521671e-12
age_8-14j,hors fiches attaquees,0.033170138818093935,1.0337264012685468,0.7827339874041137,1.365202341888246,0.8151824121385792
age_15-30j,hors fiches attaquees,-0.9586994534668437,0.3833911799475509,0.2850181092095518,0.5157173951831456,2.338915977865281e-10
age_31-60j,hors fiches attaquees,-1.9122809791743358,0.14774300324598758,0.09853478614539217,0.2215257764495047,2.185883317179535e-20
age_61-90j,hors fiches attaquees,-2.6390709190137707,0.07142760076384452,0.049916495838890046,0.10220874011961915,3.122834017278238e-47
age_90j+,hors fiches attaquees,-3.3062222233493106,0.03665438460280495,0.01931016093126512,0.06957704368144389,4.9440508143884576e-24
profil_compte_vierge,hors fiches attaquees,0.5769429248285393,1.7805867144073346,1.415652190662011,2.239596045156593,8.20845794620513e-07
profil_guide_sans_avis_declare,hors fiches attaquees,0.09662711305016372,1.101449580861535,0.8731636112238713,1.3894202227227261,0.41484014896191324
profil_sans_statut_guide,hors fiches attaquees,0.6374248748531645,1.8916034863460653,0.8372287639953743,4.273818463284855,0.12533394874164755
texte_texte_1_50,hors fiches attaquees,-0.2547179237399968,0.7751351143404364,0.5765507471251294,1.042118926182159,0.09164894817984867
texte_texte_51_200,hors fiches attaquees,-0.3535065361610357,0.7022214027408958,0.5207930525897574,0.9468538338122403,0.020445835681072423
texte_texte_201p,hors fiches attaquees,-0.3295090062041687,0.7192768071961378,0.5345202123991425,0.967894409545625,0.02960011624369258
secteur_food_beverage,hors fiches attaquees,-0.5172640507362366,0.5961493531738806,0.30112310539542725,1.1802284345564973,0.1376969397484031
secteur_healthcare,hors fiches attaquees,0.2920563715937758,1.3391785071383397,0.797127610216078,2.2498268169322775,0.26987064777559633
secteur_home_services,hors fiches attaquees,1.4830176880975332,4.406222242999674,2.788361053368803,6.9627978884760235,2.1188001926588518e-10
secteur_hospitality,hors fiches attaquees,-0.2791787403270422,0.7564046911096142,0.4377514520162931,1.3070157828084954,0.31708490339818174
secteur_travel,hors fiches attaquees,0.5927437315347539,1.8089448717849839,0.7766992752086894,4.213061159710714,0.16939986901161586
secteur_wellness_fitness,hors fiches attaquees,0.3558653143537091,1.4274152829665359,0.8180479353513769,2.490702930716719,0.21024589515479875
taille_mono,hors fiches attaquees,-0.17133211747970561,0.8425417041721127,0.5354249430882047,1.3258189265050817,0.45887640600560686
taille_small,hors fiches attaquees,0.19296938899846142,1.2128456665303111,0.8566528310041528,1.7171420645363202,0.2766913193909244
