variable,passage,risque_relatif,borne_basse,borne_haute,coefficient,p_value,avis,suppressions,auc,suppressions_trouvees_dans_10pct_des_avis,suppressions_trouvees_dans_20pct_des_avis,suppressions_trouvees_dans_50pct_des_avis
log_photos_auteur,US_sans_enseignes,0.8896158166890806,0.7723911942241194,1.0246314396403386,-0.11696557609229903,0.10470933335423616,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
guide_1_3,US_sans_enseignes,1.0,1.0,1.0,0.0,,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
guide_sans_niveau,US_sans_enseignes,2.169853372274777,1.4673544496915103,3.2086750806269513,0.7746595948891002,0.00010395843311711423,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
guide_4_et_plus,US_sans_enseignes,0.8525974206908763,0.5174404955839658,1.4048424272405569,-0.15946779988328744,0.5314053596859414,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
log_burst,US_sans_enseignes,7.105161367226506,1.3007038616436877,38.81230735375285,1.9608214730753222,0.023608265587299133,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
log_ratio_pic_journalier_fiche,US_sans_enseignes,0.758133906823766,0.6009263335462388,0.9564683532572145,-0.2768952508631194,0.019525556510373295,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
const,Europe,0.0005794958850738984,8.725545196822138e-05,0.003848647542847934,-7.453351996031252,1.2030816246851549e-14,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
etoiles_1,Europe,2.965246429099683,1.6336479168509652,5.382240747588552,1.086960141677196,0.000352061012384442,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
etoiles_2,Europe,1.841890445827836,0.8173850621236483,4.150504543865352,0.6107924604008693,0.14061472110576076,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
etoiles_4,Europe,0.9752162702860814,0.4938410072772629,1.92581571764197,-0.025096016903717835,0.9423736095421205,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
etoiles_5,Europe,1.0,1.0,1.0,0.0,,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
has_photo,Europe,0.9633084801694993,0.5034368425072835,1.8432564914099334,-0.03738158600857986,0.9101049362279052,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
texte_sans_texte,Europe,1.0,1.0,1.0,0.0,,7731,152,0.6884340699893028,0.2602739726027397,0.4383561643835616,0.773972602739726
