caracteristique,valeur,tranche_age,lignes_avis_vague,suppressions,taux_pour_10000_lignes
profil_auteur,sans_statut_guide,61-90j,1016,0,0.0
profil_auteur,compte_vierge,90j+,30,0,0.0
profil_auteur,guide_etabli,90j+,135952,12,0.88
profil_auteur,guide_sans_avis_declare,90j+,8518,0,0.0
profil_auteur,sans_statut_guide,90j+,137,0,0.0
taille_texte,sans_texte,0-3j,26425,29,10.97
taille_texte,texte_1_50,0-3j,14050,39,27.76
taille_texte,texte_51_200,0-3j,31523,52,16.5
taille_texte,texte_201p,0-3j,26166,117,44.71
taille_texte,sans_texte,4-7j,35393,216,61.03
taille_texte,texte_1_50,4-7j,18846,127,67.39
taille_texte,texte_51_200,4-7j,41878,314,74.98
taille_texte,texte_201p,4-7j,34351,217,63.17
taille_texte,sans_texte,8-14j,61934,332,53.61
taille_texte,texte_1_50,8-14j,32397,136,41.98
taille_texte,texte_51_200,8-14j,71266,232,32.55
taille_texte,texte_201p,8-14j,60707,134,22.07
taille_texte,sans_texte,15-30j,140278,179,12.76
taille_texte,texte_1_50,15-30j,73373,78,10.63
taille_texte,texte_51_200,15-30j,163849,164,10.01
taille_texte,texte_201p,15-30j,135924,107,7.87
taille_texte,sans_texte,31-60j,248119,53,2.14
taille_texte,texte_1_50,31-60j,132095,56,4.24
taille_texte,texte_51_200,31-60j,299194,110,3.68
taille_texte,texte_201p,31-60j,231575,75,3.24
taille_texte,sans_texte,61-90j,248453,15,0.6
taille_texte,texte_1_50,61-90j,131986,21,1.59
taille_texte,texte_51_200,61-90j,285720,53,1.85
taille_texte,texte_201p,61-90j,204128,51,2.5
taille_texte,sans_texte,90j+,41160,2,0.49
taille_texte,texte_1_50,90j+,22520,1,0.44
taille_texte,texte_51_200,90j+,47779,3,0.63
taille_texte,texte_201p,90j+,33178,6,1.81
